time,x,y,z,angle_y_rad,angle_y_deg,wy,speed_xz,event_flag
0.06600000000000004,1.3776336159165665e-05,-4.491933921529397e-06,0.13067104607407787,0.00010343788521899669,0.005926554264807152,0.004584953808459529,0.03629232493798768,0
0.06800000000000005,1.3372172922176402e-05,-4.495062106432698e-06,0.13075666825109855,9.950933388839413e-05,0.005701464853963121,-0.0019642782985891056,0.042811565451651025,0
0.07000000000000005,1.1387430866494794e-05,-4.4540979280914105e-06,0.13085179285773477,8.342626141223024e-05,0.004779972679475912,-0.008041538309412444,0.047572654930964076,0
0.07200000000000005,7.915099350304969e-06,-4.378086799930257e-06,0.1309534995661306,5.595867554387413e-05,0.0032061959358059243,-0.013733794547926729,0.0508829824668136,0
0.07400000000000005,3.031094856801585e-06,-4.274648464387993e-06,0.13105939627018523,1.7731379694082402e-05,0.0010159332214148904,-0.019113649171804154,0.05300463524430897,0
0.07600000000000005,-3.2030818547247954e-06,-4.150179656473641e-06,0.1311675356897348,-3.075204666445118e-05,-0.0017619624852624135,-0.02424171413562852,0.05415948444129739,0
0.07800000000000006,-8.151417524454799e-06,-4.010023644784752e-06,0.1312764548709381,-6.89359897894215e-05,-0.003949741271490789,-0.019091972301886695,0.05451576391259926,0
0.08000000000000006,-1.1853337892674003e-05,-3.858637114633048e-06,0.1313848761579415,-9.72481986242753e-05,-0.005571911346420913,-0.01415610498674873,0.05424223375261023,0
0.08200000000000006,-1.4340047127567207e-05,-3.699712305590626e-06,0.13149178717023313,-0.0001160270060213775,-0.00664785775456392,-0.009389404135474708,0.053469964166903555,0
0.08400000000000006,-1.5635834523718218e-05,-3.5362903368579703e-06,0.13159639699454287,-0.00012553710633460662,-0.007192746365257991,-0.0047550504910901506,0.052308924685684106,0
0.08600000000000006,-1.575918449762554e-05,-3.3708588773825125e-06,0.13169809905563828,-0.00012598256718804763,-0.007218269392098456,-0.00022273068233638876,0.0508510679491323,0
0.08800000000000006,-1.4723718125246292e-05,-3.2054362159421755e-06,0.13179643968207633,-0.00011751756394418727,-0.006733260432660706,0.00423250142673779,0.04917303884963856,0
0.09000000000000007,-1.2538990530230964e-05,-3.0416435324942647e-06,0.13189109152561213,-0.00010025523698909466,-0.005744201953558983,0.008631163328462052,0.04733852690829203,0
0.09200000000000007,-9.211165034982483e-06,-2.880766946075638e-06,0.1319818311150924,-7.427500007307236e-05,-0.004255644027520927,0.012990118343982952,0.04540029603861622,0
0.09400000000000007,-4.743582054605523e-06,-2.7238107143095615e-06,0.13206851993021113,-3.962856938326021e-05,-0.0022705497738021614,0.017323215257444586,0.04340192957800033,0
0.09600000000000007,8.627618174707465e-07,-2.571542782874885e-06,0.13215108846999665,3.6550647793242237e-06,0.00020941978570219362,0.021641817013906897,0.041379327126974653,0
0.09800000000000007,5.338171660222831e-06,-2.4245438911345286e-06,0.13222961873811012,3.794010430155214e-05,0.0021738078507650776,0.017142519711227062,0.039328845340388434,0
0.10000000000000007,8.680523019417243e-06,-2.2832162775003924e-06,0.13230412579972514,6.331006617102462e-05,0.003627399592293679,0.012684980897996113,0.03729099604164301,0
0.10200000000000008,1.0886787310079783e-05,-2.1478270405727144e-06,0.13237466215653787,7.982193291271527e-05,0.004573459868474983,0.008255933343980735,0.03528542629235336,0
